Names	Index
Elaeagnus_maritima	180
Senna_racemosa	296.372
Rubus_plus	75
Dicymbe_fraterna	145.308
Millettia_bipindensis	97.6667
Lupinus_argenteus_var_rubricaulis	156
Stylosanthes_angustifolia	118.367
Muraltia_thunbergii	132.643
Bredemeyera_densiflora	159.68
Genista_monspessulana	115.833
Desmodium_venustum	210.6
Artocarpus_lanceifolius	205
Astragalus_nuttalianus	0
Cliffortia_burchellii	146.403
Pilea_wightii	79.3333
Cryptosepalum_maraviense	84.5581
Onobrychis_subacaulis	93.375
Polygala_acuminata	54.5
Sorbus_franconica	168.656
Dicraeopetalum_mahafaliense	99.8333
Mariosousa_coulteri	147.614
Pediomelum_cyphocalyx	90
Lotus_torulosus	75
Aspalathus_teres	138.057
Senna_tenuifolia	160.167
Oxytropis_sericea_var_spicata	272.042
Ventilago_cernua	77.5
Pilea_clementis	181.857
Pediomelum_pentaphyllum	87
Amelanchier_botryapium	71
Cotoneaster_moupinensis	209.437
Rubus_erinulus	332.667
Acacia_pubicosta	130.438
Spiraea_martinii	173.214
Phylica_nervosa	100.083
Pultenaea_skinneri	107.038
Mimosa_balduinii	188.667
Aspalathus_pinguis	114.023
Mimosa_debilis	128.439
Brongniartia_sericea	0
Dalea_pinnata	521.683
Leobordea_stolzii	150.926
Erythrina_vespertilio	77.6771
Naucleopsis_herrerensis	162.368
Spatholobus_hirsutus	186.125
Naucleopsis_capirensis	335.278
Cliffortia_weimarckii	145.524
Intsia_palembanica	135
Lithocarpus_ochrocarpus	206
Mimosa_artemisiana	153
Rhamnus_borneensis	302.375
Crotalaria_ukambensis	86.56
